movieId,director,actors
44,Paul W. S. Anderson,Robin Shou;Linden Ashby;Bridgette Wilson-Sampras;Christopher Lambert;Cary-Hiroyuki Tagawa
45,Xavier Beauvois,Xavier Beauvois;Chiara Mastroianni;Roschdy Zem;Bulle Ogier;Jean-Louis Richard
46,Jocelyn Moorhouse,Winona Ryder;Anne Bancroft;Ellen Burstyn;Kate Nelligan;Jean Simmons
48,Ryszard Słapczyński,Nickolas Grace;Lee Perry;Peter McAllum;Juliet Jordan
49,Patricia Rozema,Pascale Bussières;Rachael Crawford;Henry Czerny;David Fox;Don McKellar
50,Bryan Singer,Stephen Baldwin;Gabriel Byrne;Benicio del Toro;Kevin Pollak;Kevin Spacey
52,Woody Allen,Woody Allen;Mira Sorvino;Helena Bonham Carter;F. Murray Abraham;Donald Symington
53,Gianni Amelio,Enrico Lo Verso;Michele Placido;Piro Milkani;Carmelo Di Mazzarelli;Elida Janushi
54,Holly Goldberg Sloan,Olivia d'Abo;Steve Guttenberg;Chauncey Leopardi;Patrick Renna;Billy L. Sullivan
55,Ulu Grosbard,Jennifer Jason Leigh;Mare Winningham;Ted Levine;Max Perlich;John Doe
57,Jodie Foster,Holly Hunter;Robert Downey Jr.;Anne Bancroft;Charles Durning;Dylan McDermott
58,Michael Radford,Massimo Troisi;Philippe Noiret;Maria Grazia Cucinotta;Renato Scarpa;Linda Moretti
60,Frank Oz,Hal Scardino;Litefoot;Lindsay Crouse;Richard Jenkins;Rishi Bhat
61,John Schlesinger,Sally Field;Kiefer Sutherland;Ed Harris;Beverly D'Angelo;Charlayne Woodard
62,Stephen Herek,Richard Dreyfuss;Glenne Headly;Jay Thomas;Olympia Dukakis;William H. Macy
63,Paris Barclay,Shawn Wayans;Marlon Wayans;Tracey Cherelle Jones;Chris Spencer;Vivica A. Fox
64,Bill Bennett,Sandra Bullock;Denis Leary;Yaphet Kotto;Stephen Dillane;Tracey Cherelle Jones
65,Jason Bloom,Pauly Shore;Stephen Baldwin;William Atherton;Joey Lauren Adams;Teresa Hill
66,Farhad Mann,Patrick Bergin;Matt Frewer;Austin O'Brien;Ely Pouget;Camille Cooper
68,Josiane Balasko,Victoria Abril;Josiane Balasko;Alain Chabat;Ticky Holgado;Catherine Hiegel
69,F. Gary Gray,Ice Cube;Chris Tucker;Nia Long;Tommy Lister Jr.;John Witherspoon
70,Robert Rodriguez,George Clooney;Quentin Tarantino;Harvey Keitel;Juliette Lewis;Ernest Liu
71,Andrew Sipes,William Baldwin;Cindy Crawford;Steven Berkoff;Christopher McDonald;Miguel Sandoval
72,Noah Baumbach,Josh Hamilton;Olivia d'Abo;Chris Eigeman;Parker Posey;Jason Wiles
73,Claude Lelouch,Jean-Paul Belmondo;Michel Boujenah;Alessandra Martines;Salomé Lelouch;Annie Girardot
74,Michael Goldenberg,Christian Slater;Mary Stuart Masterson;Pamela Adlon;Josh Brolin;Brian Tarantina
75,Steve Miner,Rick Moranis;Tom Arnold;Julianne Phillips;Carol Kane;Jeffrey Tambor
76,Christian Duguay,Peter Weller;Jennifer Rubin;Roy Dupuis;Andrew Lauer;Liliana Głąbczyńska
77,Susanne Ofteringer,Nico;Tina Aumont;Christian Aaron Boulogne;Jackson Browne;John Cale
78,Sean Penn,Jack Nicholson;David Morse;Anjelica Huston;Robin Wright;Piper Laurie
79,Brian Gibson,Demi Moore;Alec Baldwin;Joseph Gordon-Levitt;Anne Heche;James Gandolfini
80,Jafar Panahi,Aida Mohammadkhani;Mohsen Kafili;Fereshteh Sadr Orafaee;Anna Borkowska;Mohammad Shahani
81,Gary Fleder,Andy García;Christopher Lloyd;William Forsythe;Bill Nunn;Treat Williams
82,Marleen Gorris,Willeke van Ammelrooy;Els Dottermans;Dora van der Groen;Veerle van Overloop;Carolien Spoor
83,Tim Reid,Al Freeman Jr.;Phylicia Rashād;Paula Kelly;Salli Richardson-Whitfield;Anna Maria Horsford
85,Philip Haas,Mark Rylance;Kristin Scott Thomas;Patsy Kensit;Jeremy Kemp;Douglas Henshall
86,Ridley Scott,Jeff Bridges;Caroline Goodall;John Savage;Scott Wolf;Jeremy Sisto
87,Ken Kwapis,Sam the Orangutan;Jason Alexander;Faye Dunaway;Rupert Everett;Graham Sack
88,Penelope Spheeris,Chris Farley;David Spade;Tim Matheson;Gary Busey;Chris Owen
89,John Badham,Johnny Depp;Courtney Chase;Charles S. Dutton;Christopher Walken;Roma Maffia
92,Stephen Frears,Julia Roberts;John Malkovich;George Cole;Michael Gambon;Glenn Close
93,Wes Craven,Angela Bassett;Eddie Murphy;Allen Payne;Kadeem Hardison;John Witherspoon
94,Ted Demme,Timothy Hutton;Matt Dillon;Noah Emmerich;Annabeth Gish;Lauren Holly
95,John Woo,John Travolta;Christian Slater;Samantha Mathis;Delroy Lindo;Frank Whaley
96,Kenneth Branagh,Michael Maloney;Richard Briers;Joan Collins;Nicholas Farrell;Julia Sawalha
97,Mathieu Kassovitz,Vincent Cassel;Hubert Koundé;Saïd Taghmaoui;Abdel Ahmed Ghili;Solo
99,Nick Broomfield,Nick Broomfield;Heidi Fleiss;Madam Alex;Ivan Nagy;Corinne Bohrer
100,Harold Becker,Al Pacino;John Cusack;Bridget Fonda;Danny Aiello;Martin Landau
101,Wes Anderson,Luke Wilson;Owen Wilson;Robert Musgrave;Lumi Cavazos;James Caan
102,Nick Castle,Ellen DeGeneres;Bill Pullman;Joan Cusack;Dean Stockwell;Joan Plowright
103,John Dahl,Ray Liotta;Linda Fiorentino;Peter Coyote;Christopher McDonald;David Paymer
104,Dennis Dugan,Adam Sandler;Christopher McDonald;Julie Bowen;Frances Bay;Carl Weathers
105,Clint Eastwood,Meryl Streep;Clint Eastwood;Annie Corley;Victor Slezak;Jim Haynie
106,Doris Dörrie,Maria Schrader;Pierre Sanoussi-Bliss;Michael von Au;Elisabeth Trissenaar;Joachim Król
107,David Gumpel,Jerry Nelson;Kevin Clash;Bill Barretta;Camille Bonora;Steve Whitmire
108,Robert Leacock,Christy Turlington;Azzedine Alaïa;Giorgio Armani;Nadja Auermann;Sandra Bernhard
110,Mel Gibson,Mel Gibson;Catherine McCormack;Sophie Marceau;Patrick McGoohan;Angus Macfadyen
111,Martin Scorsese,Robert De Niro;Jodie Foster;Cybill Shepherd;Harvey Keitel;Peter Boyle
113,Barbet Schroeder,Meryl Streep;Liam Neeson;Edward Furlong;Alfred Molina;Julia Weldon
116,Jon Blair,Kenneth Branagh;Glenn Close;Anne Frank;Otto Frank
117,Benjamin Ross,Hugh O'Conor;Antony Sher;Ruth Sheen;Roger Lloyd Pack;Charlotte Coleman
118,Eric Schaeffer,Sarah Jessica Parker;Eric Schaeffer;Ben Stiller;Elle Macpherson;James Rebhorn
119,Andrew Davis,Andy García;Alan Arkin;Rachel Ticotin;Joe Pantoliano;Ally Walker
121,John N. Smith,David Hewlett;Henry Czerny;Brian Dodd;Sebastian Spence;Johnny Morina
122,Reginald Hudlin,Eddie Murphy;Robin Givens;Halle Berry;David Alan Grier;Grace Jones
123,Wong Kar-wai,Takeshi Kaneshiro;Brigitte Lin;Tony Leung;Faye Wong;Valerie Chow
125,David O. Russell,Ben Stiller;Patricia Arquette;Téa Leoni;Mary Tyler Moore;George Segal
126,Peter MacDonald,Jason James Richter;Melody Kay;Jack Black;Ryan Bollman;Freddie Jones
129,Bryan Gordon,Josh Charles;Anne Heche;John Goodman;Christine Lahti;Christine Ebersole
132,William Friedkin,David Caruso;Linda Fiorentino;Chazz Palminteri;Richard Crenna;Michael Biehn
135,David S. Ward,Kelsey Grammer;Lauren Holly;Rob Schneider;Harry Dean Stanton;Bruce Dern
137,Dirk Shafer,Dirk Shafer;Mary Stein;Claudette Sutherland;Cal Bartlett;Vivian Paxton
140,Jon Avnet,Robert Redford;Michelle Pfeiffer;Stockard Channing;Joe Mantegna;Kate Nelligan
141,Mike Nichols,Robin Williams;Gene Hackman;Nathan Lane;Dan Futterman;Dianne Wiest
144,Edward Burns,Shari Albert;Maxine Bahns;Catharine Bolz;Connie Britton;Edward Burns
145,Michael Bay,Will Smith;Martin Lawrence;Téa Leoni;Tchéky Karyo;Joe Pantoliano
146,Christopher Cain,Stephen Lang;Ryan Slater;Ding Yi;Brian Wagner;Isabella Hofmann
147,Scott Kalvert,Leonardo DiCaprio;Mark Wahlberg;James Madio;Lorraine Bracco;Patrick McGaw
148,Mike Newell,Alan Rickman;Hugh Grant;Georgina Cates;Alun Armstrong;Peter Firth
149,Hal Hartley,Isabelle Huppert;Martin Donovan;Elina Löwensohn;Damian Young;Chuck Montgomery
150,Ron Howard,Tom Hanks;Bill Paxton;Kevin Bacon;Gary Sinise;Ed Harris
151,Michael Caton-Jones,Liam Neeson;Jessica Lange;John Hurt;Tim Roth;Eric Stoltz
152,Abel Ferrara,Lili Taylor;Christopher Walken;Annabella Sciorra;Edie Falco;Paul Calderon
153,Joel Schumacher,Val Kilmer;Tommy Lee Jones;Jim Carrey;Nicole Kidman;Chris O'Donnell
154,Luis Buñuel,Catherine Deneuve;Jean Sorel;Michel Piccoli;Geneviève Page;Pierre Clémenti
155,John Boorman,Patricia Arquette;U Aung Ko;Frances McDormand;Spalding Gray;Tiara Jacquelina
156,Paul Auster,Harvey Keitel;Lou Reed;Michael J. Fox;Roseanne Barr;Lily Tomlin
157,Michael Moore,John Candy;Alan Alda;Rhea Perlman;Kevin Pollak;Rip Torn
158,Brad Silberling,Malachi Pearson;Christina Ricci;Bill Pullman;Cathy Moriarty;Eric Idle
159,Spike Lee,Harvey Keitel;John Turturro;Delroy Lindo;Mekhi Phifer;Isaiah Washington
160,Frank Marshall,Laura Linney;Dylan Walsh;Ernie Hudson;Tim Curry;Grant Heslov
161,Tony Scott,Denzel Washington;Gene Hackman;Matt Craven;George Dzundza;Viggo Mortensen
162,Terry Zwigoff,Robert Crumb;Aline Kominsky;Charles Crumb;Maxon Crumb;Robert Hughes
163,Robert Rodriguez,Antonio Banderas;Salma Hayek Pinault;Joaquim de Almeida;Steve Buscemi;Cheech Marin
164,Carl Franklin,Denzel Washington;Tom Sizemore;Jennifer Beals;Don Cheadle;Maury Chaykin
165,John McTiernan,Bruce Willis;Samuel L. Jackson;Jeremy Irons;Larry Bryggman;Graham Greene
166,Gregg Araki,Rose McGowan;James Duval;Johnathon Schaech;Cress Williams;Dustin Nguyen
168,Jerry Zucker,Sean Connery;Richard Gere;Julia Ormond;Ben Cross;Liam Cunningham
169,Dwight H. Little,Jason James Richter;Michael Madsen;Jayne Atkinson;August Schellenberg;Mary Kate Schellhardt
170,Iain Softley,Jonny Lee Miller;Angelina Jolie;Matthew Lillard;Jesse Bradford;Renoly Santiago
171,Christopher Ashley,Steven Weber;Patrick Stewart;Michael T. Weiss;Bryan Batt;Nathan Lane
172,Robert Longo,Keanu Reeves;Dina Meyer;Takeshi Kitano;Ice-T;Dolph Lundgren
173,Danny Cannon,Sylvester Stallone;Diane Lane;Armand Assante;Rob Schneider;Jürgen Prochnow
174,John Fortenberry,Pauly Shore;Tia Carrere;Stanley Tucci;Brian Doyle-Murray;Abe Vigoda
175,Larry Clark,Leo Fitzpatrick;Justin Pierce;Chloë Sevigny;Rosario Dawson;Yakira Peguero
176,Tom DiCillo,Steve Buscemi;Catherine Keener;Dermot Mulroney;Danielle von Zerneck;James Le Gros
177,Clive Barker,Scott Bakula;Kevin J. O'Connor;Famke Janssen;Joel Swetow;Daniel von Bargen
178,Denys Arcand,Thomas Gibson;Ruth Marshall;Cameron Bancroft;Mia Kirshner;Joanne Vannicola
179,Antonia Bird,Chris O'Donnell;Drew Barrymore;Matthew Lillard;Richard Chaim;Robert Nadir
180,Kevin Smith,Jason Lee;Jeremy London;Shannen Doherty;Claire Forlani;Ben Affleck
181,Bryan Spicer,David Yost;Steve Cardenas;Amy Jo Johnson;Karan Ashley;Johnny Yong Bosch
184,Michael Almereyda,Elina Löwensohn;Suzy Amis;Galaxy Craze;Martin Donovan;Peter Fonda
185,Irwin Winkler,Sandra Bullock;Jeremy Northam;Dennis Miller;Wendy Gazelle;Diane Baker
186,Chris Columbus,Hugh Grant;Julianne Moore;Tom Arnold;Joan Cusack;Jeff Goldblum
187,Daisy von Scherler Mayer,Parker Posey;Guillermo Díaz;Liev Schreiber;Omar Townsend;Anthony DeSando
188,Gregory Widen,Christopher Walken;Elias Koteas;Virginia Madsen;Eric Stoltz;Viggo Mortensen
189,Norman René,Mia Farrow;Scott Glenn;Mary-Louise Parker;Tony Goldwyn;Stephen Dorff
190,Todd Haynes,Julianne Moore;Xander Berkeley;Dean Norris;Julie Burgess;Ronnie Farer
191,Roland Joffé,Demi Moore;Gary Oldman;Robert Duvall;Robert Prosky;Edward Hardwicke
193,Paul Verhoeven,Elizabeth Berkley;Kyle MacLachlan;Gina Gershon;Glenn Plummer;Robert Davi
194,Wayne Wang,Harvey Keitel;William Hurt;Stockard Channing;Harold Perrineau;Forest Whitaker
195,Lasse Hallström,Julia Roberts;Dennis Quaid;Robert Duvall;Gena Rowlands;Kyra Sedgwick
196,Roger Donaldson,Natasha Henstridge;Ben Kingsley;Michael Madsen;Marg Helgenberger;Alfred Molina
198,Kathryn Bigelow,Ralph Fiennes;Angela Bassett;Juliette Lewis;Tom Sizemore;Michael Wincott
199,Jacques Demy,Catherine Deneuve;Nino Castelnuovo;Anne Vernon;Mireille Perrey;Marc Michel
201,Martha Coolidge,Patrick Swayze;Mary Elizabeth Mastrantonio;Joseph Mazzello;David Marshall Grant;Jay O. Sanders
202,Agnieszka Holland,Leonardo DiCaprio;David Thewlis;Romane Bohringer;Dominique Blanc;Nita Klein
203,Beeban Kidron,Patrick Swayze;Wesley Snipes;John Leguizamo;Stockard Channing;Blythe Danner
204,Geoff Murphy,Steven Seagal;Eric Bogosian;Katherine Heigl;Morris Chestnut;Everett McGill
205,Diane Keaton,Andie MacDowell;John Turturro;Michael Richards;Maury Chaykin;Nathan Watt
206,Douglas Keeve,Isaac Mizrahi;Sandra Bernhard;Naomi Campbell;John Galliano;Kate Moss
207,Alfonso Arau,Keanu Reeves;Aitana Sánchez-Gijón;Anthony Quinn;Angélica Aragón;Evangelina Elizondo
208,Kevin Reynolds,Kevin Costner;Dennis Hopper;Jeanne Tripplehorn;Tina Majorino;R. D. Call
209,Desmond Nakano,John Travolta;Harry Belafonte;Kelly Lynch;Margaret Avery;Tom Bower
210,Walter Hill,Jeff Bridges;Ellen Barkin;John Hurt;Diane Lane;Keith Carradine
211,Mike Figgis,Albert Finney;Greta Scacchi;Matthew Modine;Julian Sands;Michael Gambon
212,Greg Beeman,Daniel Stern;Jon Polito;Brad Sullivan;Ann Dowd;Anthony Heald
213,Nikita Mikhalkov,Nikita Mikhalkov;Oleg Menshikov;Ingeborga Dapkūnaitė;Vyacheslav Tikhonov;Nadezhda Mikhalkova
214,Milcho Manchevski,Katrin Cartlidge;Rade Šerbedžija;Grégoire Colin;Labina Mitevska;Phyllida Law
215,Richard Linklater,Ethan Hawke;Julie Delpy;Andrea Eckert;Hanno Pöschl;Karl Bruckschwaiger
216,Tamra Davis,Adam Sandler;Bradley Whitford;Josh Mostel;Bridgette Wilson-Sampras;Darren McGavin
217,Guy Ferland,Alicia Silverstone;Jeremy London;J. T. Walsh;Nicky Katt;Lee Garlington
218,Herbert Ross,Whoopi Goldberg;Mary-Louise Parker;Drew Barrymore;Matthew McConaughey;James Remar
219,Peter Horton,Joseph Mazzello;Brad Renfro;Annabella Sciorra;Diana Scarwid;Bruce Davison
220,Stuart Gordon,Jeffrey Combs;Barbara Crampton;Jonathan Fuller;Jessica Dollarhide;Massimo Sarchielli
222,Pat O'Connor,Chris O'Donnell;Minnie Driver;Geraldine O'Rawe;Saffron Burrows;Alan Cumming
223,Kevin Smith,Brian O'Halloran;Jeff Anderson;Marilyn Ghigliotti;Lisa Spoonauer;Jason Mewes
224,Jeremy Leven,Johnny Depp;Marlon Brando;Faye Dunaway;Géraldine Pailhas;Bob Dishy
225,Barry Levinson,Michael Douglas;Demi Moore;Donald Sutherland;Dylan Baker;Jacqueline Kim
227,John Badham,Wesley Snipes;Gary Busey;Yancy Butler;Michael Jeter;Corin Nemec
228,Jack Baran,Dylan McDermott;Nancy Travis;Quentin Tarantino;Jim Belushi;James Le Gros
229,Roman Polanski,Sigourney Weaver;Ben Kingsley;Stuart Wilson;Krystia Mova;Jonathan Vega
230,Taylor Hackford,Kathy Bates;Jennifer Jason Leigh;Judy Parfitt;Christopher Plummer;David Strathairn
231,Peter Farrelly,Jim Carrey;Jeff Daniels;Lauren Holly;Teri Garr;Charles Rocket
232,Ang Lee,Lung Sihung;Yang Kuei-mei;Jacklyn Wu Chien-Lien;Wang Yu-wen;Winston Chao
233,Atom Egoyan,Bruce Greenwood;Mia Kirshner;Don McKellar;Sarah Polley;Victor Garber
234,Garry Marshall,Dana Delany;Paul Mercurio;Rosie O'Donnell;Dan Aykroyd;Héctor Elizondo
235,Tim Burton,Johnny Depp;Martin Landau;Sarah Jessica Parker;Patricia Arquette;Jeffrey Jones
236,Lawrence Kasdan,Meg Ryan;Kevin Kline;Timothy Hutton;Jean Reno;Adam Brooks
237,Billy Crystal,Billy Crystal;Debra Winger;Joe Mantegna;Cynthia Stevenson;Richard Masur
238,Phillip Borsos,Mimi Rogers;Jesse Bradford;Bruce Davison;Tom Bower;Joel Palmer
239,Kevin Lima,Bill Farmer;Jason Marsden;Rob Paulsen;Jim Cummings;Kellie Martin
240,Brett Leonard,Jeff Goldblum;Christine Lahti;Alicia Silverstone;Jeremy Sisto;Alfred Molina
241,Carlo Carlei,Matthew Modine;Nancy Travis;Eric Stoltz;Max Pomeranc;Ron Perlman
242,Gérard Corbiau,Stefano Dionisi;Enrico Lo Verso;Elsa Zylberstein;Jeroen Krabbé;Caroline Cellier
243,Mark Lewis,Doug Stone;Kristy Young;James Donadio;Deborah Hobart;Tom Lester
246,Steve James,William Gates;Arthur Agee;Gene Pingatore;Steve James;Dick Vitale
247,Peter Jackson,Melanie Lynskey;Kate Winslet;Sarah Peirse;Diana Kent;Clive Merrison
249,Bernard Rose,Gary Oldman;Jeroen Krabbé;Isabella Rossellini;Johanna ter Steege;Marco Hofschneider
250,Steven Brill,Tom McGowan;Aaron Schwartz;Shaun Weiss;Tom Hodges;Leah Lail
251,J.F. Lawton,Christopher Lambert;John Lone;Joan Chen;Yoshio Harada;Yoko Shimada
252,Fred Schepisi,Tim Robbins;Meg Ryan;Walter Matthau;Lou Jacobi;Gene Saks
253,Neil Jordan,Tom Cruise;Brad Pitt;Antonio Banderas;Christian Slater;Stephen Rea
254,James Ivory,Nick Nolte;Greta Scacchi;Thandiwe Newton;Gwyneth Paltrow;Jean-Pierre Aumont
255,James Melkonian,John G. Brennan;Kamal Ahmed;Alan Arkin;William Hickey;Vincent Pastore
256,Ivan Reitman,Arnold Schwarzenegger;Danny DeVito;Emma Thompson;Frank Langella;Pamela Reed
257,Arne Glimcher,Sean Connery;Laurence Fishburne;Blair Underwood;Kate Capshaw;Ruby Dee
258,Michael Gottlieb,Thomas Ian Nicholas;Joss Ackland;Art Malik;Daniel Craig;Kate Winslet
259,Barbet Schroeder,David Caruso;Nicolas Cage;Samuel L. Jackson;Helen Hunt;Kathryn Erbe
260,George Lucas,Mark Hamill;Harrison Ford;Carrie Fisher;Peter Cushing;Alec Guinness
261,Gillian Armstrong,Winona Ryder;Trini Alvarado;Samantha Mathis;Kirsten Dunst;Claire Danes
262,Alfonso Cuarón,Liesel Matthews;Eleanor Bron;Liam Cunningham;Rusty Schwimmer;Vanessa Lee Chester
263,Ken Loach,Crissy Rock;Vladimir Vega;Sandie Lavelle;Mauricio Venegas;Ray Winstone
265,Alfonso Arau,Lumi Cavazos;Regina Torné;Ada Carrasco;Marco Leonardi;Mario Iván Martínez
266,Edward Zwick,Brad Pitt;Anthony Hopkins;Aidan Quinn;Julia Ormond;Henry Thomas
267,Nick Castle,Damon Wayans;Karyn Parsons;William Hickey;Michael Ironside;Albert Hall
269,Allison Anders,Angel Aviles;Seidy López;Jacob Vargas;Devine;Monica Lutton
270,Glenn Gordon Caron,Warren Beatty;Annette Bening;Katharine Hepburn;Garry Shandling;Chloe Webb
271,Stephen Gyllenhaal,Jessica Lange;Halle Berry;David Strathairn;Cuba Gooding Jr.;Daisy Eagan
272,Nicholas Hytner,Nigel Hawthorne;Helen Mirren;Ian Holm;Anthony Calf;Amanda Donohoe
273,Kenneth Branagh,Robert De Niro;Kenneth Branagh;Tom Hulce;Helena Bonham Carter;Aidan Quinn
274,James Orr,Chevy Chase;Farrah Fawcett;Jonathan Taylor Thomas;George Wendt;David Shiner
275,Nora Ephron,Steve Martin;Madeline Kahn;Rita Wilson;Juliette Lewis;Anthony LaPaglia
276,Richard Benjamin,Melanie Griffith;Ed Harris;Michael Patrick Carter;Malcolm McDowell;Anne Heche
277,Les Mayfield,Mara Wilson;Richard Attenborough;Dylan McDermott;Elizabeth Perkins;J. T. Walsh
278,David Frankel,Sarah Jessica Parker;Gil Bellows;Antonio Banderas;Mia Farrow;Paul Mazursky
279,Gregory Nava,Edward James Olmos;Jimmy Smits;Esai Morales;Jennifer Lopez;Jacob Vargas
280,Marc Rocco,Christian Slater;Kevin Bacon;Gary Oldman;Embeth Davidtz;William H. Macy
281,Robert Benton,Paul Newman;Bruce Willis;Melanie Griffith;Jessica Tandy;Dylan Walsh
282,Michael Apted,Jodie Foster;Liam Neeson;Natasha Richardson;Richard Libertini;Robin Mullins
283,Nick Gomez,Sharron Corley;Gabriel Casseus;Saul Stein;Donald Faison;Gwen McGee
288,Oliver Stone,Woody Harrelson;Juliette Lewis;Robert Downey Jr.;Tommy Lee Jones;Tom Sizemore
289,Norman Jewison,Marisa Tomei;Robert Downey Jr.;Bonnie Hunt;Joaquim de Almeida;Fisher Stevens
290,Lee Tamahori,Rena Owen;Temuera Morrison;Mamaengaroa Kerr-Bell;Julian Arahanga;Taungaroa Emile
291,Anne Goursaud,Alyssa Milano;Johnathon Schaech;Xander Berkeley;Belinda Bauer;Camilla Belle
292,Wolfgang Petersen,Dustin Hoffman;Rene Russo;Morgan Freeman;Kevin Spacey;Cuba Gooding Jr.
294,Mira Nair,Marisa Tomei;Alfred Molina;Anjelica Huston;Chazz Palminteri;Trini Alvarado
295,Joshua Brand,William Baldwin;John Leguizamo;Erika Eleniak;Michael Lerner;Armin Mueller-Stahl
296,Quentin Tarantino,John Travolta;Samuel L. Jackson;Uma Thurman;Bruce Willis;Ving Rhames
298,Ang Lee,Lung Sihung;Wang Bozhao;Deb Snyder;Wang Lai;Fanny De Luz
299,Antonia Bird,Linus Roache;Tom Wilkinson;Robert Carlyle;Cathy Tyson;Lesley Sharp
300,Robert Redford,Ralph Fiennes;Rob Morrow;John Turturro;Paul Scofield;David Paymer
301,Kayo Hatta,Youki Kudoh;Akira Takayama;Tamlyn Tomita;Cary-Hiroyuki Tagawa;Toshirō Mifune
302,Patrice Chéreau,Isabelle Adjani;Daniel Auteuil;Jean-Hugues Anglade;Vincent Perez;Virna Lisi
303,Sam Raimi,Sharon Stone;Gene Hackman;Russell Crowe;Leonardo DiCaprio;Tobin Bell
304,Peter Yates,Peter Falk;D. B. Sweeney;Julianne Moore;Ellen Burstyn;Jan Rubeš
305,Robert Altman,Marcello Mastroianni;Sophia Loren;Jean-Pierre Cassel;Kim Basinger;Chiara Mastroianni
306,Krzysztof Kieślowski,Irène Jacob;Jean-Louis Trintignant;Frédérique Feder;Jean-Pierre Lorit;Samuel Le Bihan
307,Krzysztof Kieślowski,Juliette Binoche;Benoît Régent;Florence Pernel;Charlotte Véry;Hélène Vincent
308,Krzysztof Kieślowski,Zbigniew Zamachowski;Julie Delpy;Janusz Gajos;Jerzy Stuhr;Grzegorz Warchoł
